date,description,amount,type,category
16 Apr 2025,Saving vault topup prefunding wallet,2.0,expense,Savings
17 Apr 2025,Savings Vault topup,2.0,expense,Savings
17 Apr 2025,Saving vault topup prefunding wallet,2.0,expense,Savings
17 Apr 2025,Savings Vault topup,50.0,expense,Savings
17 Apr 2025,Saving vault topup prefunding wallet,50.0,expense,Savings
17 Apr 2025,Savings Vault topup,13.0,expense,Savings
17 Apr 2025,Saving vault topup prefunding wallet,13.0,expense,Savings
18 Apr 2025,Savings Vault topup,2.0,expense,Savings
18 Apr 2025,Saving vault topup prefunding wallet,2.0,expense,Savings
18 Apr 2025,Savings Vault topup,60.0,expense,Savings
18 Apr 2025,Saving vault topup prefunding wallet,60.0,expense,Savings
19 Apr 2025,Savings Vault topup,2.0,expense,Savings
19 Apr 2025,Saving vault topup prefunding wallet,2.0,expense,Savings
20 Apr 2025,Savings Vault topup,2.0,expense,Savings
20 Apr 2025,Saving vault topup prefunding wallet,2.0,expense,Savings
21 Apr 2025,Savings Vault topup,2.0,expense,Savings
21 Apr 2025,Saving vault topup prefunding wallet,2.0,expense,Savings
22 Apr 2025,Savings Vault topup,2.0,expense,Savings
22 Apr 2025,Saving vault topup prefunding wallet,2.0,expense,Savings
23 Apr 2025,Savings Vault topup,2.0,expense,Savings
23 Apr 2025,Saving vault topup prefunding wallet,2.0,expense,Savings
25 Apr 2025,Savings Vault topup,2.0,expense,Savings
25 Apr 2025,Saving vault topup prefunding wallet,2.0,expense,Savings
26 Apr 2025,Savings Vault topup,5.0,expense,Savings
26 Apr 2025,Saving vault topup prefunding wallet,5.0,expense,Savings
27 Apr 2025,Savings Vault topup,60.0,expense,Savings
27 Apr 2025,Saving vault topup prefunding wallet,60.0,expense,Savings
27 Apr 2025,Savings Vault topup,5.0,expense,Savings
27 Apr 2025,Saving vault topup prefunding wallet,5.0,expense,Savings
28 Apr 2025,Savings Vault topup,5.0,expense,Savings
28 Apr 2025,Saving vault topup prefunding wallet,5.0,expense,Savings
29 Apr 2025,Savings Vault topup,5.0,expense,Savings
29 Apr 2025,Saving vault topup prefunding wallet,5.0,expense,Savings
